,City,State,Population,Latitude,Longitude,Cluster Labels,Cluster Names,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
382,Paradip,Odisha,73625.0,20.28694605,86.67399790661415,0,Food Hubs,Indian Restaurant,ATM,Hotel,Harbor / Marina,Beach,Flea Market,Pharmacy,Cruise,Food Court,Food & Drink Shop
383,Virudhachalam,Tamil Nadu,73585.0,11.54787515,79.38453998266513,1,Stations,Train Station,Indie Movie Theater,Department Store,Bus Station,Jewelry Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
384,Kanhangad,Kerala,73342.0,12.3135605,75.092463,0,Food Hubs,Mattress Store,BBQ Joint,Snack Place,Bus Stop,Multiplex,Dance Studio,Train Station,Resort,Women's Store,Falafel Restaurant
385,Kadi,Gujarat,73228.0,23.2969449,72.33063809999999,0,Food Hubs,Indian Restaurant,Lawyer,Business Service,Movie Theater,Ice Cream Shop,Cricket Ground,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
386,Srivilliputhur,Tamil Nadu,73183.0,9.5601364,77.60912867038894,4,Indian Cuisine Restaurants,Indian Restaurant,South Indian Restaurant,Train Station,Department Store,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm
387,Gobindgarh,Punjab,73130.0,30.6359946,76.6625158,0,Food Hubs,Pizza Place,Indian Restaurant,Multiplex,Sandwich Place,Factory,Train Station,Fast Food Restaurant,Café,Cricket Ground,Flea Market
388,Tindivanam,Tamil Nadu,72796.0,12.2131306,79.63221424717159,4,Indian Cuisine Restaurants,Indian Restaurant,Train Station,Food,Field,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
389,Mansa,Punjab,72627.0,29.8769971,75.4889866137018,2,ATM Hubs,ATM,Bus Station,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
390,Taliparamba,Kerala,72465.0,12.1090785,75.45715052585774,0,Food Hubs,Grocery Store,Park,Mobile Phone Shop,Bakery,Electronics Store,Mountain,Currency Exchange,Flea Market,Farmers Market,Cruise
391,Manmad,Maharashtra,72401.0,20.2519828,74.43922859999999,1,Stations,Train Station,ATM,Mobile Phone Shop,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
392,Tanuku,Andhra Pradesh,72348.0,16.75414,81.685839,0,Food Hubs,Motel,Light Rail Station,Hotel Bar,Bus Station,Mattress Store,Fireworks Store,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
393,Rayachoti,Andhra Pradesh,72297.0,14.0629248,78.71843326006439,0,Food Hubs,Movie Theater,Mattress Store,Dhaba,Women's Store,Fireworks Store,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
394,Virudhunagar,Tamil Nadu,72296.0,9.5208936,77.87845639618651,1,Stations,Train Station,Fireworks Store,ATM,Men's Store,Vegetarian / Vegan Restaurant,Women's Store,Factory,Falafel Restaurant,Farm,Farmers Market
395,Koyilandy,Kerala,71873.0,11.4383564,75.69689100000001,0,Food Hubs,Movie Theater,Football Stadium,Indian Restaurant,Light Rail Station,College Cafeteria,Bakery,Bus Stop,Bus Station,Beach,Fireworks Store
396,Jorhat,Assam,71782.0,26.757792499999997,94.2079645,0,Food Hubs,Ice Cream Shop,Airport,Fast Food Restaurant,Chinese Restaurant,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm
397,Karur,Tamil Nadu,70980.0,10.9301522,78.08485454572889,1,Stations,Train Station,Indian Restaurant,Ice Cream Shop,Food,Hotel,Fast Food Restaurant,Exhibit,Fabric Shop,Factory,Falafel Restaurant
398,Valparai,Tamil Nadu,70859.0,10.39017065,76.95120218001419,0,Food Hubs,Jewelry Store,Scenic Lookout,Resort,Waterfall,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
399,Srikalahasti,Andhra Pradesh,70854.0,13.7896547,79.64707713075806,0,Food Hubs,Hotel,Train Station,Vegetarian / Vegan Restaurant,Travel & Transport,Women's Store,Fast Food Restaurant,Exhibit,Fabric Shop,Factory,Falafel Restaurant
400,Neyyattinkara,Kerala,70850.0,8.4100639,77.0816275,0,Food Hubs,Resort,Hotel,Chinese Restaurant,Indian Restaurant,Food Court,Field,Fabric Shop,Factory,Falafel Restaurant,Farm
401,Bapatla,Andhra Pradesh,70777.0,15.9052608,80.4680501,1,Stations,Train Station,Indian Restaurant,Beach,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
402,Fatehabad,Haryana,70777.0,29.4688301,75.52107146631747,4,Indian Cuisine Restaurants,Indian Restaurant,Mobile Phone Shop,Park,Motorcycle Shop,Food Stand,Field,Factory,Falafel Restaurant,Farm,Farmers Market
403,Malout,Punjab,70765.0,30.1902559,74.50012070000001,0,Food Hubs,Pool,Canal,Bus Station,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
404,Sankarankovil,Tamil Nadu,70574.0,9.170073,77.53536899999999,1,Stations,Train Station,Bus Station,Women's Store,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
405,Tenkasi,Tamil Nadu,70545.0,9.09407535,77.47583689833286,0,Food Hubs,Platform,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
406,Ratnagiri,Maharashtra,70383.0,17.282607900000002,73.45697870398259,4,Indian Cuisine Restaurants,Indian Restaurant,Train Station,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
407,Sikandrabad,Uttar Pradesh,69867.0,28.4165035,77.73534746014595,0,Food Hubs,Restaurant,Motorcycle Shop,Mobile Phone Shop,Train Station,Women's Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
408,Chaibasa,Jharkhand,69565.0,22.548351800000002,85.81888764651222,0,Food Hubs,Motorcycle Shop,Café,Cosmetics Shop,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
409,Palwancha,Telangana,69088.0,17.597671300000002,80.7057072,0,Food Hubs,ATM,Cricket Ground,Bus Station,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
410,Kayamkulam,Kerala,68634.0,9.172188400000001,76.50086850000001,0,Food Hubs,Eastern European Restaurant,College Cafeteria,Food,Fast Food Restaurant,Kerala Restaurant,Boat or Ferry,Platform,Plaza,Fish & Chips Shop,Falafel Restaurant
411,Pithampur,Madhya Pradesh,68080.0,22.6105576,75.6790283,2,ATM Hubs,ATM,Racetrack,Lake,Bed & Breakfast,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market
412,Nabha,Punjab,67972.0,30.373994800000002,76.1528674,4,Indian Cuisine Restaurants,Ice Cream Shop,Indian Restaurant,Train Station,Farm,Restaurant,Women's Store,Fast Food Restaurant,Exhibit,Fabric Shop,Factory
413,"Shahabad, Hardoi",Uttar Pradesh,67751.0,27.5994338,80.03260243745382,1,Stations,Train Station,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
414,Dhenkanal,Odisha,67414.0,20.75,85.5,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
415,Uran Islampur,Maharashtra,67391.0,17.0502198,74.2661719,0,Food Hubs,Indian Restaurant,Motel,Food Truck,Mobile Phone Shop,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Diner,Juice Bar,Fireworks Store,Falafel Restaurant
416,Gopalganj,Bihar,67339.0,26.4207265,84.37406407415166,0,Food Hubs,Jewelry Store,Snack Place,Currency Exchange,Fast Food Restaurant,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
417,Bongaigaon City,Assam,67322.0,26.4800126,90.5580387,0,Food Hubs,Train Station,Farm,Hotel,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farmers Market,Fast Food Restaurant
